x,y
-5,25
-4.9,24.01
-4.8,23.04
-4.7,22.09
-4.6,21.16
-4.5,20.25
-4.4,19.36
-4.3,18.49
-4.2,17.64
-4.1,16.81
-4,16
-3.9,15.21
-3.8,14.44
-3.7,13.69
-3.6,12.96
-3.5,12.25
-3.4,11.56
-3.3,10.89
-3.2,10.24
-3.1,9.61
-3,9
-2.9,8.41
-2.8,7.84
-2.7,7.29
-2.6,6.76
-2.5,6.25
-2.4,5.76
-2.3,5.29
-2.2,4.84
-2.1,4.41
-2,4
-1.9,3.61
-1.8,3.24
-1.7,2.89
-1.6,2.56
-1.5,2.25
-1.4,1.96
-1.3,1.69
-1.2,1.44
-1.1,1.21
-1,1
-0.9,0.81
-0.8,0.64
-0.7,0.49
-0.6,0.36
-0.5,0.25
-0.4,0.16
-0.3,0.09
-0.2,0.04
-0.1,0.01
-2.04E-14,4.17E-28
0.1,0.01
0.2,0.04
0.3,0.09
0.4,0.16
0.5,0.25
0.6,0.36
0.7,0.49
0.8,0.64
0.9,0.81
1,1
1.1,1.21
1.2,1.44
1.3,1.69
1.4,1.96
1.5,2.25
1.6,2.56
1.7,2.89
1.8,3.24
1.9,3.61
2,4
2.1,4.41
2.2,4.84
2.3,5.29
2.4,5.76
2.5,6.25
2.6,6.76
2.7,7.29
2.8,7.84
2.9,8.41
3,9
3.1,9.61
3.2,10.24
3.3,10.89
3.4,11.56
3.5,12.25
3.6,12.96
3.7,13.69
3.8,14.44
3.9,15.21
4,16
4.1,16.81
4.2,17.64
4.3,18.49
4.4,19.36
4.5,20.25
4.6,21.16
4.7,22.09
4.8,23.04
4.9,24.01
5,25
